metric,metric_label,survey_metric,survey_metric_label,n,pearson_r,note
reaction_total,총 리액션 수,avg_rating,전체 설문 평균,5,0.729,표본이 작아 탐색적 지표로만 해석
reaction_total,총 리액션 수,overall_satisfaction,전반적 만족도,5,0.848,표본이 작아 탐색적 지표로만 해석
reaction_total,총 리액션 수,flow_immersion,흐름/몰입도,5,0.572,표본이 작아 탐색적 지표로만 해석
reaction_total,총 리액션 수,active_participation,능동적 참여도,5,0.32,표본이 작아 탐색적 지표로만 해석
reaction_total,총 리액션 수,revisit_intent,재관람 의향,5,0.562,표본이 작아 탐색적 지표로만 해석
reaction_total,총 리액션 수,avg_interaction_rating,상호작용 평가 평균,5,0.583,표본이 작아 탐색적 지표로만 해석
reaction_total,총 리액션 수,selected_impressive_count,인상 깊었던 요소 선택 수,5,0.1,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,avg_rating,전체 설문 평균,5,0.744,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,overall_satisfaction,전반적 만족도,5,0.922,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,flow_immersion,흐름/몰입도,5,0.533,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,active_participation,능동적 참여도,5,0.119,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,revisit_intent,재관람 의향,5,0.595,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,avg_interaction_rating,상호작용 평가 평균,5,0.725,표본이 작아 탐색적 지표로만 해석
active_song_count,리액션한 곡 수,selected_impressive_count,인상 깊었던 요소 선택 수,5,0.184,표본이 작아 탐색적 지표로만 해석
