song_id,order,title,total,unique_clients,reactions_per_client,clap,like,spark,wave
twenty-eight,1,스물여덟,4,2,2,3,0,1,0
daedongje,2,대동제,11,3,3.67,3,5,0,3
wharf,3,부둣가,16,4,4,5,5,1,5
boy-and-girl,4,소년과 소녀,10,4,2.5,1,5,4,0
needless-words,5,괜한 말,5,3,1.67,3,0,1,1
noknok-knock-knock,6,Knock Knock,15,5,3,5,4,5,1
sea,7,바다,9,2,4.5,2,3,1,3
psyche,8,Psyche,0,0,0,0,0,0,0
someones,9,누군가의,5,2,2.5,4,1,0,0
hongmyo-red-anchor,10,홍묘,7,2,3.5,0,6,1,0
two-am,11,새벽두시,10,3,3.33,5,4,1,0
look-at-me-please,12,"날 좀 봐줘요, 좀 봐줘요",8,2,4,4,4,0,0
